index,assists,baronKills,bountyLevel,champExperience,champLevel,championId,championName,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,objectivesStolen,objectivesStolenAssists,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,id_game,inhibitorTakedowns,nexusTakedowns,turretTakedowns,eligibleForProgression,basicPings,allInPings,assistMePings,baitPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings
4,9,0,1,11229,13,32,Amumu,0,3,1896,3326,1896,8306,1,1,0,0,True,False,False,False,False,False,8168,6825,UTILITY,0,0,3860,2031,3047,6665,6660,1031,3364,18,0,2,BOTTOM,0,0,1,1566,21721,4185,2296,0,0,0,0,0,5,0,8176,1218,6616,5432,JwYWuuDHhltuWWsWdhgwVHGX1n368tgQLE01kr83jPWmDFKTD3HlhrI2nJHUcBTakBZVOoVLzmyeOg,0,,,SOLO,0,35,38,29,6,4,4,5,14,k7TAZBBYu_6CYj3HcClN0wHuwLbcuQb8c7ocVf8AkytcYA4,220,holy22,False,100,UTILITY,27,1740,37688,6338,0,9079,1361,472,34,52,41,4,0,7790,934,166,2,2,0,58,1,2,19,True,LA2_1257878161,1.0,1.0,6.0,True,0.0,1.0,9.0,1.0,8.0,0.0,16.0,0.0,3.0,0.0,0.0,22.0,2.0,0.0
5,1,0,0,15010,16,24,Jax,0,0,3237,14843,3237,23926,7,0,1,0,False,False,False,True,False,False,11598,10275,TOP,0,2,6632,2033,3047,3161,3133,1037,3340,15,2,8,TOP,0,4,2,401,32406,8561,1180,16,0,1,0,0,6,0,88896,10530,22172,4075,UQKPesE4SiB-UC5SGiwmbqnet9Sb1yJxZAKWHwr9JEhMWo9D2CK4hv_NdJQLhU3S-GJt5CUbyhRGmA,0,,,SOLO,0,37,107,35,9,2,4,5,14,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,546,GC Darius Brando,False,200,TOP,13,1740,129356,20146,0,28120,5084,0,138,44,214,1,0,8054,1054,4767,1,9,0,20,0,3,8,False,LA2_1257878161,0.0,0.0,1.0,True,0.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
6,4,0,0,9421,12,64,LeeSin,0,7,657,14019,657,27203,6,4,0,0,False,False,False,False,False,False,7987,7855,JUNGLE,0,2,3047,6630,2055,1031,3133,1037,3340,20,0,0,JUNGLE,0,0,0,852,19598,453,4012,105,0,1,0,0,7,0,74419,2906,20809,986,1pSrJn0zE1IcXv6dNHVbIAG7x-PdY-rODS8uM4AlMISGEkJiMNYuVaGNG1VETG9XcRv0rnifnDFBRA,0,,,NONE,0,143,79,75,4,3,4,16,11,500-z1qVQ8GwiEHubwYokUDR5dhy5OSePjRTNBdnm3OK6w,465,GC NewTown ,False,200,JUNGLE,8,1740,131580,3474,401,27324,2510,0,18,194,150,1,0,37562,114,2502,1,9,0,33,6,1,13,False,LA2_1257878161,0.0,0.0,1.0,True,0.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,2,0,0,12678,14,80,Pantheon,0,2,1980,2920,1980,18832,6,1,1,0,False,False,False,False,False,False,10243,10025,MIDDLE,0,2,3153,3035,3047,6692,1036,0,3363,18,2,5,MIDDLE,0,2,2,582,4114,967,1606,4,0,1,0,0,8,0,109558,15773,18812,3501,D2ApjxNaq-FjZMMfZRBDHQ6rv1c0dMmCNQvN-jIt9QD9ncAwcnLmbeLfGsvhcJ55CVvAREDiIDwGeA,0,,,SOLO,0,92,24,29,3,4,14,2,4,0nPz7ri619KkdYlJiPSnsVS35NgxoQtJoWH_2wcjYRSLRA,489,GC Ca Cdos 601,False,200,MIDDLE,26,1740,116942,17851,0,22653,3007,0,165,59,159,1,0,3268,1110,2234,0,9,0,15,1,0,7,False,LA2_1257878161,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,3,0,0,10252,13,119,Draven,0,0,700,1707,700,6318,2,0,0,0,False,False,False,False,False,False,9966,9725,BOTTOM,0,2,3006,1037,6692,3508,3134,1018,3340,19,0,1,BOTTOM,717,0,1,1165,0,0,1384,6,0,1,0,0,9,0,126572,7202,9030,3543,Il7uD8NSu9mRnHka9FYpQC4GJsleeDEmUlmtvKUPblyToO0MO3_1KL63F5Gu7a8ISFgSxpBkr_Vqzw,0,,,CARRY,0,71,72,5,7,4,3,4,4,u7GPU32nz3cnR-Fo74I0x99aiZC-GXazhHceP-U1LScPHPgiKqRhJYQNpA,61,Borgriszol,False,200,BOTTOM,5,1740,126702,7332,0,10955,2433,0,200,39,67,1,0,130,130,540,0,9,0,11,0,0,8,False,LA2_1257878161,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0
9,4,0,0,7532,11,147,Seraphine,0,2,628,628,628,5072,8,0,0,0,False,False,False,False,False,False,5667,5535,UTILITY,0,2,3853,6653,3020,1029,1052,0,3364,14,0,0,BOTTOM,0,0,0,627,18772,7575,1026,0,0,1,0,0,10,0,1553,860,10296,4784,Oz1QxQDZK2CvC4bsSO6sLB23rw37VxAy7gCvzdZHZU3jpKQ-jRBF77rwsB2MddBNToidWpvwqW1grA,0,,,SUPPORT,0,35,27,41,6,4,4,4,14,lXbTv0HUFpKw3yA_aEgE9s3mndrdQtdVdK-Mews2GMEAP7M,188,loveg0d,False,200,UTILITY,19,1740,20940,9049,336,12318,1038,1023,17,122,183,4,0,614,614,995,0,9,0,36,0,3,19,False,LA2_1257878161,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,6,0,5,15348,16,80,Pantheon,0,7,1708,1708,1708,25098,4,3,2,0,False,False,True,False,False,True,13432,11925,TOP,0,0,3158,6630,3071,3161,1055,1029,3363,26,4,16,TOP,0,5,2,414,7947,660,4764,0,0,0,0,0,1,0,132638,30835,23930,0,M3OZWsxL6M2-u5nCtJ5xLJs2be3AB705fUCPSB4m9S35rWZc9iVSeoCLi-5l3wJ-J6FebMpLZWgPpw,0,,,SOLO,0,167,33,43,7,5,4,6,14,Atuxx1EklsJpM-BQoHSntlrf5NUzxENX2-qRAiaNvyc3zNI,157,BATTLEFIELDPLAY4,False,100,TOP,27,1678,144709,32822,0,31071,8444,0,176,49,122,1,0,4123,1326,2375,1,3,0,22,3,1,10,True,LA2_1259107902,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1,6,0,2,11856,14,62,MonkeyKing,0,11,2893,32816,2893,22546,1,9,0,2,False,False,False,False,False,True,10585,9025,JUNGLE,0,0,6333,6632,3047,2055,1036,0,3364,27,2,6,JUNGLE,0,4,1,1356,16393,1105,5106,122,0,0,0,0,2,0,93249,8894,15720,5414,GxQSwEl9Jx9qGQ9kv7uLp5eNsRb6T43JnMvsi4cFw21GOrEoQcjrvWzKkVNhKm6hzSwO-WbSXjQ5Gg,0,,,NONE,0,96,36,70,9,3,4,13,11,lxKdcufhOMYAMs5nAlUv3VWp6yZ2aT2r3m3ovn3RM7Zv8x3rQbkk_LJlHg,178,Nilah Vi Venir,False,100,JUNGLE,10,1678,152749,10756,0,21803,3344,0,9,227,39,1,0,43106,756,976,3,3,0,22,11,2,10,True,LA2_1259107902,0.0,0.0,3.0,True,0.0,0.0,10.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,7,0,0,12835,14,90,Malzahar,0,5,3219,8089,3219,8347,2,2,0,0,False,False,False,False,False,True,9710,8535,MIDDLE,0,0,3040,1026,3020,6653,1052,0,3340,17,1,2,MIDDLE,0,2,1,987,102313,15210,765,0,0,0,0,0,3,0,12123,246,7932,5168,oC-K7_Ucs4TekTBNYcvTCiL7UuIM6FS6n5tEvdIPRjV0b1J8hwD5xvpzOSU4Whh4R1c1GaoKzEekGg,0,,,SOLO,0,78,62,93,6,1,12,5,4,bYoz5LO6-4JMXufGYbVtoiZs76jLJdacM0mUj5cEv2pdh4h6wY8_MTQeYg,186,The Bata,False,100,MIDDLE,39,1678,125286,15457,0,8917,1409,0,186,245,67,1,0,10850,0,219,1,3,0,26,3,5,11,True,LA2_1259107902,0.0,0.0,3.0,True,0.0,0.0,0.0,3.0,7.0,0.0,16.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0
3,6,0,1,11545,14,51,Caitlyn,0,6,722,5635,722,7366,4,1,0,0,False,False,False,False,False,True,9636,7925,BOTTOM,0,0,3006,6671,3094,1018,0,0,3363,21,0,2,BOTTOM,722,0,1,640,2356,902,1526,12,0,0,0,0,4,0,113573,8034,9821,5257,tkDKlT0nTp-cw2ozZhJMmIiSmK5WLtDveYd1WHGHmVxylYES48mBM5FYFTFdjNBpx5Hccx48FqfShQ,0,,,CARRY,0,63,28,15,6,4,4,4,7,4yjtMeI2Y5YdG-4gAYoD0TC_n-sTOUBZiV1IiXiFHFWJmDU,258,Harry Maokguire,False,100,BOTTOM,8,1678,117158,9273,0,12586,3175,470,195,85,109,3,0,1228,336,1239,0,3,0,11,1,1,9,True,LA2_1259107902,0.0,0.0,0.0,True,0.0,0.0,3.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,3.0,1.0,0.0,1.0
4,12,0,0,9722,12,412,Thresh,0,8,689,2457,689,13729,1,3,0,0,False,False,True,False,False,True,6938,6125,UTILITY,0,0,3857,3190,3047,3067,3801,2055,3364,21,0,1,BOTTOM,0,0,1,206,9090,3405,2095,0,0,0,0,0,5,0,6898,1285,9311,3891,Vgq1oOO9WbKFzHt40YPldeCsg2Tr8S5StWkseyhhi3ejOicM_89NPKP1FDVNgBxb3N_eDGXuN4YbVw,0,,,SUPPORT,0,42,17,16,5,4,3,8,4,e0pdhseva7muImQzYugfOFa5RQnYLsszj6BHVfG8Sl6d0ZwNvgqU48mpag,245,V for Vaynedetta,False,100,UTILITY,33,1678,20486,4691,1703,12162,1887,0,37,143,8,1,0,4496,0,754,0,3,0,52,5,12,15,True,LA2_1259107902,0.0,0.0,2.0,True,0.0,1.0,4.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
5,2,0,0,12158,14,24,Jax,0,1,3307,8786,3307,20844,8,0,0,0,False,False,False,False,False,True,10237,10008,TOP,0,0,3078,2033,3047,3161,1031,1037,3340,20,0,2,TOP,0,0,1,570,37202,5528,4363,24,0,0,0,0,6,0,90257,6804,17933,4075,UQKPesE4SiB-UC5SGiwmbqnet9Sb1yJxZAKWHwr9JEhMWo9D2CK4hv_NdJQLhU3S-GJt5CUbyhRGmA,0,,,SOLO,0,52,104,40,6,4,4,4,14,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,546,GC Darius Brando,False,200,TOP,14,1678,131865,13355,0,22879,1241,0,163,48,300,1,0,4405,1022,582,1,5,0,14,0,2,7,False,LA2_1259107902,0.0,0.0,1.0,True,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,6,0,0,11039,13,104,Graves,0,4,310,13424,310,24865,6,1,0,1,False,False,False,False,False,True,9873,9150,JUNGLE,0,0,3179,6692,3047,3134,1037,0,3364,20,0,1,JUNGLE,0,0,1,653,1842,614,6289,124,0,0,0,0,7,0,164632,15634,19649,685,qQkPwNXTY11lYFGP9P2Njr-toBzItGF6urIy19rhAw4Fy-6UPuvgaUrtTzZfuXZIbW5Jh0pcuw2owA,0,,,NONE,0,89,25,33,6,15,11,3,4,4KwJhwBqJSPXKC4fPe70QeAWPFAclPNMMo3zQ7fFvvXryCg,178,ToknLR,False,200,JUNGLE,34,1678,196971,17742,0,26638,6687,0,44,498,109,1,0,30495,1493,699,0,5,0,30,1,7,11,False,LA2_1259107902,0.0,0.0,0.0,True,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
7,0,0,0,11405,13,157,Yasuo,0,3,1257,3334,1257,23149,8,2,1,0,False,False,False,False,False,True,8905,8725,MIDDLE,0,0,1018,6673,3006,1038,1037,3123,3340,16,1,4,MIDDLE,452,2,2,474,4195,1036,8765,12,0,0,0,0,8,0,117574,9957,16883,4548,AqKjGRcvVTpFFCjFmWlezHPWxaT0LkdJAARuzQF21RXUjnlkRyEobBE9preSuKozbnh0hnkZd45vhA,0,,,SOLO,0,191,6,51,5,2,4,5,14,y3gAnTO-EtujHRBDa8IOytuTLb1b_mq7f-MIqIarQEoBvQ,365,GC Tincho,False,200,MIDDLE,19,1678,122724,11948,0,26123,2481,0,145,112,242,1,0,954,954,474,0,5,0,19,2,2,8,False,LA2_1259107902,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0
8,1,0,0,9497,12,29,Twitch,0,1,4775,6584,4775,5701,4,0,0,0,False,True,False,False,False,True,10089,9750,BOTTOM,0,0,6672,3153,3006,3035,0,0,3363,16,1,4,BOTTOM,395,2,1,997,764,648,1029,0,0,0,0,0,9,0,82457,12367,9338,5269,AiqWHpq8WrwagnaxmmBvlDiyV5i5dM43_4tnGjdrULe58tOV-6H4f1uV8n84w2n3SY2xVJVhAW0krQ,0,,,CARRY,0,36,27,22,7,4,4,5,6,9c5Z6yZ2KvZ1Wx_scQLyckBvmxq5nygfaFhSuRMEgyA2kzY,234,KegrandeCB,False,200,BOTTOM,9,1678,94734,14992,0,10670,755,0,144,229,117,1,0,11513,1976,302,2,5,0,16,0,2,8,False,LA2_1259107902,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,7,0,0,7770,11,117,Lulu,0,7,435,1733,435,5462,1,4,0,0,True,False,False,False,False,True,6573,6025,UTILITY,0,0,2065,3853,1057,3158,3114,2055,3364,17,0,1,BOTTOM,0,0,1,1646,12287,3209,2544,0,0,0,0,0,10,0,4311,748,6070,4057,u-NBtEt4CV4366iQd7-mafPwjBF8t6nnJhw1E8wBI04jtkNbtN5-wTQjetnuz7mphaptc5lvjJO6JQ,0,,,SUPPORT,0,52,30,32,4,4,4,3,7,8XDRvqO_a31Oiw5DcLHxooMii8wkTsMXhKD_irjeu8h999Y,315,TrueBlue,False,200,UTILITY,30,1678,16614,3972,4306,8974,2236,528,15,217,0,4,0,14,14,360,0,5,0,46,5,4,22,False,LA2_1259107902,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
