championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,id,name
5,4,20479,1639362412000,7879,1121,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
33,4,19941,1677385916000,7341,1659,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
55,4,18995,1669576405000,6395,2605,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
99,4,18455,1644122690000,5855,3145,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
105,4,16196,1653519883000,3596,5404,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
50,4,16076,1671074359000,3476,5524,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
266,4,15742,1677031462000,3142,5858,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
28,4,15556,1606278341000,2956,6044,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
84,4,14339,1669523121000,1739,7261,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
56,4,14128,1677445428000,1528,7472,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
36,4,13530,1626105717000,930,8070,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
9,4,13376,1659153023000,776,8224,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
235,3,11956,1635572714000,5956,644,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
268,3,11531,1592458774000,5531,1069,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
113,3,10540,1677387879000,4540,2060,True,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
20,3,10538,1601183818000,4538,2062,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
16,3,10116,1596071927000,4116,2484,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
13,3,9828,1623119754000,3828,2772,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
498,3,9615,1608265696000,3615,2985,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
30,3,9342,1623294908000,3342,3258,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
136,3,8963,1676958591000,2963,3637,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
142,3,8941,1602737511000,2941,3659,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
61,3,8691,1592779789000,2691,3909,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
29,3,8420,1596251449000,2420,4180,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
133,3,8094,1644032480000,2094,4506,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
72,3,7523,1527393860000,1523,5077,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
360,3,7427,1641688114000,1427,5173,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
14,3,7335,1605481576000,1335,5265,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
59,3,6885,1677810163000,885,5715,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
103,3,6539,1669756796000,539,6061,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
89,3,6181,1601334323000,181,6419,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
81,3,6095,1676939807000,95,6505,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
92,2,5846,1634527292000,4046,154,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
517,2,5587,1677371445000,3787,413,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
25,2,5499,1639289069000,3699,501,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
58,2,5401,1633982892000,3601,599,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
223,2,5228,1642347789000,3428,772,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
96,2,4780,1669009159000,2980,1220,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
876,2,4645,1674413040000,2845,1355,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
15,2,4391,1670629065000,2591,1609,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
161,2,4187,1617326045000,2387,1813,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
111,2,3891,1636314392000,2091,2109,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
27,2,3819,1615082505000,2019,2181,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
150,2,3808,1640487521000,2008,2192,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
39,2,2919,1652752679000,1119,3081,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
44,2,2829,1636311839000,1029,3171,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
240,2,2715,1613092267000,915,3285,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
63,2,2363,1586382319000,563,3637,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
1,2,2339,1585716767000,539,3661,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
203,2,2202,1670635888000,402,3798,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
83,2,2150,1633291600000,350,3850,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
429,2,2149,1517889507000,349,3851,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
57,2,1908,1606284081000,108,4092,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
101,2,1847,1657417362000,47,4153,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
40,1,1798,1511909216000,1798,2,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
164,1,1779,1641158512000,1779,21,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
2,1,1733,1653620089000,1733,67,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
134,1,1723,1609827612000,1723,77,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
154,1,1328,1598083197000,1328,472,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
246,1,1157,1627875767000,1157,643,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
7,1,1040,1495855140000,1040,760,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
74,1,1024,1592456207000,1024,776,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
201,1,810,1602133983000,810,990,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
91,1,636,1511038742000,636,1164,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
126,1,361,1584023371000,361,1439,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
90,1,257,1580263363000,257,1543,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
38,1,215,1514336628000,215,1585,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
43,1,214,1500573778000,214,1586,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
41,1,179,1533357406000,179,1621,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
200,1,171,1659148006000,171,1629,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
35,1,156,1502514830000,156,1644,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
76,1,144,1533249584000,144,1656,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
68,1,144,1602740802000,144,1656,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
102,1,139,1498534248000,139,1661,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
350,1,129,1583818776000,129,1671,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
42,1,127,1548815901000,127,1673,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
112,1,109,1501911194000,109,1691,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
77,1,101,1500693172000,101,1699,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
48,1,89,1527387128000,89,1711,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
