12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,doubleAces,dragonTakedowns,earliestBaron,earliestDragonTakedown,earliestElderDragon,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadAfkTeammate,hadOpenNexus,highestChampionDamage,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerKillsEarlyJungle,junglerTakedownsNearDamagedEpicMonster,kda,killParticipation,killsNearEnemyTurret,killsOnLanersEarlyJungleAsJungler,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,laneMinionsFirst10Minutes,legendaryCount,lostAnInhibitor,maxKillDeficit,moreEnemyJungleThanOpponent,mostWardsDestroyedOneSweeper,multiKillOneSpell,multikills,multikillsAfterAggressiveFlash,mythicItemUsed,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,poroExplosions,riftHeraldTakedowns,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirst25Minutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,unseenRecalls,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,controlWardTimeCoverageInRiverOrEnemyHalf,earlyLaningPhaseGoldExpAdvantage,laningPhaseGoldExpAdvantage,maxCsAdvantageOnLaneOpponent,maxLevelLeadLaneOpponent,visionScoreAdvantageLaneOpponent,teleportTakedowns,highestCrowdControlScore,shortestTimeToAceFromFirstTakedown,highestWardKills,id_game,summonerId,baronBuffGoldAdvantageOverThreshold,fastestLegendary,thirdInhibitorDestroyedTime,completeSupportQuestInTime,dodgeSkillShotsSmallWindow,epicMonsterStolenWithoutSmite,kTurretsDestroyedBeforePlatesFall,landSkillShotsEarlyGame,multiTurretRiftHeraldCount,quickCleanse,quickFirstTurret,quickSoloKills,soloTurretsLategame,threeWardsOneSweeperCount,fasterSupportQuestCompletion,mejaisFullStackInTime,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killedChampTookFullTeamDamageSurvived,knockEnemyIntoTeamAndKill,pickKillWithAlly,saveAllyFromDeath,survivedThreeImmobilizesInFight,tookLargeDamageSurvived,takedownsFirstXMinutes,killingSprees,playedChampSelectPosition
0,252,0,5.500000029802322,0,0,525,0,4,655.4468997883234,0.1602112409706778,0,10,0,1,,1422.464848235719,,1030.0,0,0,13,2.100000023841858,0,0,0,,3,1,2401.9553379471895,0.0,393.29932052405235,,0,,0,0,0.0,,0,3.0,0.5882352941176471,2,,0.0,0,0,0,50,0,1,5,0.0,,0,2,0,6671.0,0,4,0,0,0,0,0,0,21,39,0,0,1,7,0,0,30,1,0,,0,0,0,0.14425029523848976,0,0,4,7,0,7,0,1.0972882141837492,4,1,1,0.07958247999114808,0.0,0.0,21.0,1.0,0.012228131294250488,,,32.85653256640535,,LA2_1249272179,ocP2kgA3fGYp3fOODKBjKinhuAjwYR6-rzhr_lkb5S7c,,,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,4.0,4.0,0.0,0.0,22.0,0.0,3.0,0.0,4.0,2.0,1.0
1,389,0,1.2000000178813934,0,0,750,0,3,657.2567045935266,0.11784817733774673,0,9,0,0,,,,1452.540283203125,0,0,28,0.0,0,0,0,,3,1,2401.9553379471895,0.0,339.7525411046767,,0,,0,0,0.0,,0,2.6666666666666665,0.47058823529411764,1,,0.0,0,0,0,5,0,1,5,0.0,,0,0,0,6655.0,0,1,0,0,0,0,0,1,37,43,0,0,1,24,0,1,24,0,0,,1,0,0,0.1446485958141106,0,0,2,4,0,4,0,1.8970753938108942,11,7,0,0.12741737299713748,0.0,0.0,64.80000001192093,2.0,0.12594974040985107,,,32.85653256640535,1.0,LA2_1249272179,tYlh9Ee4mIRz2K59j-F6LBZR1sp2F1zS-bsOiVkUmoUXI0o,,,,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,,10.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,6.0,1.0,1.0
0,259,0,0.0,1,0,0,0,1,984.1933687432185,0.20841805635825295,0,8,0,0,1561.8826996960665,,,0.0,0,0,8,0.0,0,0,0,866.9134221678688,0,1,2401.9553379471895,0.0,448.13665006358514,,0,,0,0,0.0,,0,1.375,0.28205128205128205,0,,0.0,0,1,0,78,0,0,0,0.0,,1,1,0,6632.0,0,2,0,0,0,0,0,0,23,10,0,0,3,9,0,0,11,0,0,,0,0,2,0.24403397494744294,0,2,3,5,0,14,0,0.6754917404950359,3,0,0,,0.0,0.0,70.0,1.0,0.41949987411499023,,,,,LA2_1249272179,U7qkLR-WrDrpHJOYhRJbCAuYVxxe2CpZvwAqm3AiM0PRA5c,,,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,,2.0,0.0,0.0,0.0,7.0,0.0,15.0,0.0,1.0,,1.0
0,463,0,109.00000017881393,1,0,1025,2,2,1206.8244857968018,0.2797337286087949,0,10,0,3,1561.8826996960665,329.4503634960178,,0.0,0,0,52,14.400000005960464,0,0,0,866.9134221678688,0,1,2401.9553379471895,,454.83256193001705,,0,,2,2,46.000000059604645,1.0,0,2.4,0.6153846153846154,3,4.0,,0,0,0,4,0,0,0,-38.50000002980232,,0,1,1,4636.0,0,5,0,0,0,0,2,7,70,171,0,0,6,3,0,0,24,0,0,,0,0,2,0.2992360908801609,0,2,0,0,0,0,0,0.954940694797558,10,1,0,0.022549551102849657,0.0,0.0,12.000000029802322,1.0,0.3315165042877197,,,,,LA2_1249272179,smDPQRRUfY_lQ70jL0Z2YFZXY4iBV8eJ339sntRF9dfdF8QtaPFruY-DJQ,,,,0.0,13.0,0.0,0.0,25.0,0.0,0.0,0.0,3.0,,0.0,,,9.0,0.0,0.0,0.0,17.0,0.0,8.0,0.0,8.0,3.0,1.0
0,497,0,5.0,0,0,0,0,3,714.3429099274639,0.17614854755527376,0,10,0,0,1561.8826996960665,,,6789.53076171875,0,0,24,2.800000011920929,0,0,0,866.9134221678688,0,1,2401.9553379471895,0.0,388.69672271536524,,0,,0,0,0.0,,0,2.1,0.5384615384615384,1,,0.0,0,1,0,62,0,0,0,0.0,,0,1,0,6655.0,0,1,0,0,0,0,0,0,38,114,0,0,0,10,0,0,21,0,0,,0,0,2,0.1771236682967372,0,2,2,4,0,11,0,1.0728100759067445,3,0,0,0.17197765244754257,0.0,0.0,28.19999998807907,1.0,0.37478458881378174,,,,,LA2_1249272179,DEbQPvEgCPBRM0sSqihT7VuZKd8Bd9s009c_GuObBQSDRkk,,,,0.0,7.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,,0.0,,,5.0,0.0,0.0,5.0,19.0,0.0,4.0,0.0,5.0,1.0,1.0
0,360,0,24.900000005960464,2,0,600,0,1,823.1948506231857,0.18012176647984954,0,11,0,3,1561.8826996960665,329.4503634960178,,0.0,0,0,27,2.800000011920929,0,0,1,866.9134221678688,0,1,2401.9553379471895,0.0,418.53113172231804,,0,,0,0,0.0,,0,1.5454545454545454,0.4358974358974359,3,,0.0,0,1,0,54,0,0,0,0.0,,0,0,0,6691.0,0,1,0,0,0,0,0,1,50,35,0,0,1,9,0,1,17,0,0,,1,0,2,0.20411386413867944,0,2,0,4,0,7,0,1.0840325458486997,6,1,0,,0.0,0.0,32.09999996423721,2.0,-0.012080371379852295,,,,,LA2_1249272179,qoqVB3kA5yGgduTDG6PKnkZadjJLAS60-FCqX6Mp9BfWQ0U,,,,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,7.0,2.0,0.0,7.0,14.0,0.0,8.0,0.0,9.0,1.0,1.0
0,185,0,0.0,1,0,0,0,2,304.4622011997955,0.15557790099782887,0,12,0,2,1561.8826996960665,329.4503634960178,,6542.3798828125,0,0,58,0.4000000059604645,0,0,0,866.9134221678688,0,1,2401.9553379471895,0.0,254.36034461080098,,0,,0,0,0.0,,0,1.5,0.46153846153846156,1,,0.0,0,0,0,7,0,0,0,0.0,,0,0,0,2065.0,0,0,0,0,0,0,0,0,43,76,0,0,0,25,0,0,18,0,0,,0,0,2,0.07549240173697948,0,2,0,0,0,1,0,1.6848669222613286,6,2,0,0.21893285301648804,0.0,0.0,2.0,1.0,-0.11186087131500244,,,,,LA2_1249272179,3UtMp9eptteiChGV05xJqTEfkEn6A9Fumt60xDJqYu_low,,,,0.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,,,10.0,2.0,0.0,7.0,18.0,3.0,2.0,0.0,10.0,,1.0
0,156,0,0.0,0,0,0,1,1,691.3025679141177,0.2186475210129454,0,6,0,0,,,,0.0,0,0,5,4.0,0,0,0,755.8964320892538,1,0,1410.1543456636011,0.0,388.7075332378267,,0,,0,0,0.0,,0,0.5,0.08108108108108109,1,,0.0,0,0,0,52,0,0,1,0.0,,0,0,0,6632.0,0,1,0,0,0,0,2,0,12,0,0,0,1,6,0,0,3,0,0,,0,0,0,0.19640788271847076,0,4,2,5,5,6,0,0.7466468813134606,3,2,2,0.2534956836920298,0.0,0.0,39.0,1.0,-0.4402574896812439,,,,,LA2_1250167225,0Fx_1kp3LWf8ujgjFZyh8nWm0yaKFhMco8TXjw0R96Ja,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,1.0
0,262,0,87.50000011920929,0,0,0,0,4,628.430003783893,0.288108187975052,0,2,0,3,,620.6096080515706,,0.0,0,0,40,12.000000029802322,0,1,0,755.8964320892538,1,0,1410.1543456636011,,457.4960056341599,,0,,2,1,55.750000059604645,0.0,0,6.5,0.35135135135135137,3,2.0,,0,1,0,3,0,0,1,-49.00000008940697,,1,2,0,3152.0,0,4,0,0,0,0,3,5,2,0,0,0,2,0,0,1,13,0,0,,1,0,0,0.17854498479931702,0,4,2,3,5,0,0,2.1968508069238126,1,1,0,0.5354283495247001,0.0,0.0,33.95000001788139,2.0,1.5369393825531006,,,31.432164834843206,,LA2_1250167225,WQXlvqQd3ADeGq6_PneVPxPK8VG7dQbd3tmeRNtkdDjRcg,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,2.0,1.0
0,266,0,0.0,0,0,300,0,0,1209.0545690480214,0.22085350257586153,0,4,0,0,,,,0.0,0,0,0,0.0,0,0,0,755.8964320892538,1,0,1410.1543456636011,0.0,586.4963044955199,,0,1.0,0,0,0.0,,0,5.75,0.6216216216216216,3,,1.0,0,1,0,61,1,0,1,0.0,,0,2,0,6693.0,0,3,0,0,0,0,0,0,18,43,0,0,10,4,0,0,23,1,0,,0,0,0,0.3435078343688667,0,4,4,3,5,7,0,0.5792937348225266,2,0,0,,0.0,1.0,69.7999999821186,4.0,-0.2824082374572754,,,31.432164834843206,,LA2_1250167225,JRVd9aYFPH0Ry2-OGAdKPoSSXezRSeOk0mWRO791CLPwRA,,1038.2844459181383,,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9.0,3.0,1.0
